Episode,Total Reward,Boxes Placed on Target,Boxes Moved Away from Target,Total Waiting Moves,Game Lost
329,-23.199999999999992,2,1,0,2
330,-18.799999999999994,1,0,0,2
331,-30.400000000000006,2,1,0,2
332,-24.19999999999999,1,1,0,2
333,-10.9,1,0,0,2
334,-16.199999999999996,1,0,0,2
335,-16.299999999999997,1,0,0,2
336,-27.699999999999996,1,0,0,2
337,-22.499999999999996,1,0,0,2
338,-38.10000000000007,1,0,0,2
339,-13.900000000000002,1,0,0,2
340,-15.8,1,0,0,2
341,-14.3,1,0,0,2
342,-15.499999999999998,2,2,0,2
343,-14.399999999999999,1,0,0,2
344,-15.999999999999998,1,0,0,2
345,-21.899999999999995,1,0,0,2
346,-13.0,1,0,0,2
347,-11.2,1,0,0,2
348,-15.799999999999997,1,0,0,2
349,-13.600000000000001,1,0,0,2
350,-15.3,1,0,0,2
351,-20.599999999999994,1,0,0,2
352,-14.700000000000003,1,1,0,2
353,-14.9,1,0,0,2
354,-21.39999999999999,1,1,0,2
355,-14.8,1,0,0,2
356,-16.199999999999996,1,1,0,2
357,-27.099999999999994,1,1,0,2
358,-18.299999999999994,1,0,0,2
359,-14.100000000000001,1,0,0,2
360,-13.400000000000002,1,0,0,2
361,-16.999999999999996,1,1,0,2
362,-21.799999999999997,1,0,0,2
363,-34.400000000000055,1,1,0,2
364,-13.200000000000001,1,0,0,2
365,-14.3,1,0,0,2
366,-27.80000000000001,1,0,0,2
367,-19.39999999999999,2,0,0,2
368,-14.3,1,0,0,2
369,-16.499999999999996,1,0,0,2
370,-14.600000000000001,1,0,0,2
371,-13.700000000000001,1,0,0,2
372,-15.999999999999996,1,0,0,2
373,-18.799999999999994,1,0,0,2
374,-13.900000000000002,2,1,0,2
375,-14.7,1,0,0,2
376,-14.100000000000001,2,1,0,2
377,-29.60000000000001,2,1,0,2
378,-29.600000000000016,2,2,0,2
379,-29.0000000000001,2,0,0,1
380,-23.89999999999999,1,1,0,2
381,-28.60000000000001,2,0,0,2
382,-30.000000000000092,1,0,0,1
383,-16.599999999999994,1,0,0,2
384,-20.499999999999993,0,0,0,2
385,-25.299999999999997,1,0,0,2
386,-15.6,2,2,0,2
387,-13.200000000000003,1,0,0,2
388,-30.200000000000088,2,0,0,1
389,-12.5,1,1,0,2
390,-11.4,0,0,0,2
391,-32.00000000000011,0,0,0,1
392,-11.1,0,0,0,2
393,-13.6,1,0,0,2
394,-29.800000000000104,2,0,0,1
395,-11.1,0,0,0,2
396,-10.799999999999999,0,0,0,2
397,-18.899999999999995,1,0,0,2
398,-16.4,2,1,0,2
399,-11.8,0,0,0,2
400,-23.499999999999993,1,0,0,2
401,-12.8,1,0,0,2
402,-27.20000000000009,2,0,0,1
403,-13.3,0,0,0,2
404,-13.500000000000002,1,0,0,2
405,-11.3,0,0,0,2
406,-30.800000000000104,2,0,0,1
407,-14.5,0,0,0,2
408,-13.700000000000003,1,0,0,2
409,-16.799999999999994,1,0,0,2
410,-22.199999999999996,1,0,0,2
411,-20.499999999999986,2,1,0,2
412,-13.200000000000001,1,0,0,2
413,-30.600000000000104,1,0,0,1
414,-21.09999999999999,1,0,0,2
415,-13.400000000000002,1,1,0,2
416,-29.800000000000082,1,1,0,1
417,-15.5,1,0,0,2
418,-28.20000000000008,2,0,0,1
419,-11.8,0,0,0,2
420,-16.099999999999998,1,0,0,2
421,-23.999999999999993,2,2,0,2
422,-10.799999999999999,0,0,0,2
423,-11.3,0,0,0,2
424,-15.399999999999999,0,0,0,2
425,-12.8,1,0,0,2
426,-23.599999999999994,1,0,0,2
427,-14.9,1,0,0,2
428,-12.700000000000003,1,0,0,2
429,-10.9,0,0,0,2
430,-20.699999999999996,0,0,0,2
431,-13.600000000000001,0,0,0,2
432,-20.599999999999994,2,1,0,2
433,-18.29999999999999,0,0,0,2
434,-26.599999999999994,2,0,0,2
435,-21.999999999999993,2,1,0,2
436,-17.799999999999994,1,0,0,2
437,-11.4,0,0,0,2
438,-18.89999999999999,2,1,0,2
439,-11.3,0,0,0,2
440,-11.500000000000002,1,0,0,2
441,-25.499999999999993,0,0,0,2
442,-13.900000000000002,1,0,0,2
443,-27.600000000000087,2,0,0,1
444,-11.2,0,0,0,2
445,-11.8,0,0,0,2
446,-13.800000000000002,0,0,0,2
447,-18.199999999999992,1,0,0,2
448,-31.200000000000017,1,0,0,2
449,-28.80000000000008,1,0,0,1
450,-19.899999999999995,1,0,0,2
451,-28.400000000000084,2,0,0,1
452,-28.500000000000007,2,1,0,2
453,-24.69999999999999,1,0,0,2
454,-37.60000000000007,1,0,0,2
455,-12.8,1,1,0,2
456,-27.799999999999994,1,0,0,2
457,-16.299999999999997,1,0,0,2
458,-24.099999999999994,1,1,0,2
459,-14.899999999999999,1,0,0,2
460,-11.799999999999999,1,1,0,2
461,-30.2000000000001,2,2,0,1
462,-30.400000000000105,1,0,0,1
463,-20.39999999999999,1,0,0,2
464,-15.1,1,0,0,2
465,-14.500000000000004,1,0,0,2
466,-26.80000000000007,2,0,0,1
467,-36.10000000000007,2,1,0,2
468,-23.89999999999999,1,0,0,2
469,-24.399999999999988,1,0,0,2
470,-19.499999999999993,1,0,0,2
471,-12.0,1,1,0,2
472,-27.20000000000008,2,0,0,1
473,-18.099999999999994,1,0,0,2
474,-11.9,1,1,0,2
475,-28.400000000000084,2,0,0,1
476,-15.400000000000002,1,1,0,2
477,-30.400000000000105,2,1,0,1
478,-14.0,1,0,0,2
479,-11.799999999999999,1,1,0,2
480,-32.40000000000003,1,0,0,2
481,-17.099999999999998,1,0,0,2
482,-18.199999999999992,1,0,0,2
483,-29.000000000000103,2,0,0,1
484,-10.9,0,0,0,2
485,-19.999999999999993,1,0,0,2
486,-11.9,0,0,0,2
487,-18.699999999999992,1,0,0,2
488,-16.099999999999994,1,0,0,2
489,-13.400000000000002,1,0,0,2
490,-24.09999999999999,2,1,0,2
491,-12.8,1,0,0,2
492,-11.4,0,0,0,2
493,-15.599999999999998,1,0,0,2
494,-29.000000000000107,2,0,0,1
495,-20.79999999999999,2,1,0,2
496,-22.29999999999999,2,0,0,2
497,-18.29999999999999,1,0,0,2
498,-39.10000000000008,3,2,0,2
499,-30.80000000000011,1,0,0,1
500,-19.699999999999996,2,1,0,2
501,-30.20000000000011,1,1,0,1
502,-26.79999999999999,2,1,0,2
503,-30.4000000000001,2,1,0,1
504,-28.80000000000009,2,0,0,1
505,-28.600000000000097,2,1,0,1
506,-28.60000000000009,2,0,0,1
507,-28.600000000000094,1,0,0,1
508,-29.600000000000094,1,1,0,1
509,-10.799999999999999,0,0,0,2
510,-13.600000000000001,2,1,0,2
511,-27.399999999999995,2,1,0,2
512,-32.20000000000012,1,1,0,1
513,-19.199999999999996,2,0,0,2
514,-14.4,1,0,0,2
515,-12.9,1,1,0,2
516,-23.999999999999993,2,0,0,2
517,-16.299999999999997,2,0,0,2
518,-18.89999999999999,2,0,0,2
519,-23.79999999999999,3,1,0,2
520,-32.300000000000026,2,0,0,2
521,-20.599999999999994,2,0,0,2
522,-21.299999999999994,2,0,0,2
523,-27.899999999999984,2,2,0,2
524,-29.100000000000016,2,0,0,2
525,-15.399999999999997,2,0,0,2
526,-15.6,2,0,0,2
527,-28.8000000000001,2,1,0,1
528,-16.499999999999993,2,0,0,2
529,-34.000000000000036,2,0,0,2
530,-13.0,1,0,0,2
531,-33.20000000000005,2,1,0,2
532,-28.400000000000013,2,1,0,2
533,-14.0,1,0,0,2
534,-31.900000000000034,2,1,0,2
535,-23.199999999999992,2,0,0,2
536,-33.10000000000004,2,0,0,2
537,-11.0,1,0,0,2
538,-14.600000000000001,1,0,0,2
539,-36.40000000000005,2,0,0,2
540,-16.399999999999995,2,0,0,2
541,-35.60000000000008,3,1,0,2
542,-15.399999999999999,2,0,0,2
543,-17.89999999999999,2,0,0,2
544,-28.800000000000075,3,1,0,1
545,-19.699999999999996,2,0,0,2
546,-14.899999999999999,1,1,0,2
547,-33.90000000000006,2,1,0,2
548,-25.09999999999999,2,2,0,2
549,-15.899999999999997,2,0,0,2
550,-20.89999999999999,1,1,0,2
551,-14.000000000000004,0,0,0,2
552,-15.7,1,1,0,2
553,-19.699999999999996,0,0,0,2
554,-16.999999999999996,1,0,0,2
555,-11.8,0,0,0,2
556,-26.39999999999999,1,0,0,2
557,-13.500000000000002,0,0,0,2
558,-28.800000000000104,2,0,0,1
559,-21.799999999999997,1,0,0,2
560,-29.600000000000097,2,0,0,1
561,-28.600000000000087,2,0,0,1
562,-29.200000000000085,2,0,0,1
563,-20.299999999999994,2,1,0,2
564,-15.899999999999997,0,0,0,2
565,-17.199999999999996,2,1,0,2
566,-28.20000000000007,2,0,0,1
567,-11.8,1,1,0,2
568,-14.400000000000002,1,0,0,2
569,-11.0,0,0,0,2
570,-29.600000000000094,1,1,0,1
571,-30.000000000000114,1,0,0,1
572,-34.80000000000005,2,2,0,2
573,-33.20000000000003,1,1,0,2
574,-20.699999999999996,2,0,0,2
575,-28.60000000000009,2,0,0,1
576,-27.600000000000083,2,0,0,1
577,-16.599999999999998,1,0,0,2
578,-12.2,0,0,0,2
579,-29.6000000000001,1,0,0,1
580,-11.3,0,0,0,2
581,-28.400000000000095,2,0,0,1
582,-11.1,0,0,0,2
583,-11.6,0,0,0,2
584,-27.600000000000076,2,0,0,1
585,-23.09999999999999,2,1,0,2
586,-30.00000000000007,2,1,0,1
587,-11.3,0,0,0,2
588,-11.0,0,0,0,2
589,-12.800000000000002,1,0,0,2
590,-13.600000000000001,1,0,0,2
591,-16.099999999999998,0,0,0,2
592,-27.600000000000083,2,0,0,1
593,-38.90000000000009,1,0,0,2
594,-11.2,0,0,0,2
595,-13.200000000000001,1,0,0,2
596,-29.40000000000011,2,0,0,1
597,-32.900000000000034,2,1,0,2
598,-29.2000000000001,2,1,0,1
599,-28.00000000000007,2,0,0,1
600,-14.5,0,0,0,2
601,-27.40000000000008,2,0,0,1
602,-16.499999999999993,1,0,0,2
603,-13.500000000000002,1,0,0,2
604,-11.6,0,0,0,2
605,-28.40000000000009,2,0,0,1
606,-18.69999999999999,2,0,0,2
607,-19.699999999999992,1,0,0,2
608,-25.499999999999986,2,0,0,2
609,-11.2,0,0,0,2
610,-12.5,1,0,0,2
611,-29.20000000000008,2,0,0,1
612,-13.200000000000001,1,0,0,2
613,-22.19999999999999,1,0,0,2
614,-29.10000000000001,2,0,0,2
615,-14.3,2,1,0,2
616,-13.3,1,0,0,2
617,-18.699999999999992,1,0,0,2
618,-15.000000000000002,2,0,0,2
619,-13.200000000000001,1,0,0,2
620,-13.300000000000002,0,0,0,2
621,-20.999999999999993,1,0,0,2
622,-20.399999999999984,2,0,0,2
623,-11.4,0,0,0,2
624,-11.4,1,0,0,2
625,-11.3,1,0,0,2
626,-25.099999999999984,1,0,0,2
627,-11.0,0,0,0,2
628,-12.500000000000002,1,0,0,2
629,-13.4,1,0,0,2
630,-14.000000000000002,1,1,0,2
631,-14.8,1,1,0,2
632,-29.200000000000085,2,1,0,1
633,-12.8,1,0,0,2
634,-24.69999999999999,1,0,0,2
635,-20.499999999999993,1,0,0,2
636,-21.899999999999995,2,1,0,2
637,-16.89999999999999,1,0,0,2
638,-28.8000000000001,1,0,0,1
639,-14.5,0,0,0,2
640,-14.000000000000002,0,0,0,2
641,-20.39999999999999,1,0,0,2
642,-14.8,2,0,0,2
643,-27.800000000000093,2,0,0,1
644,-19.09999999999999,2,0,0,2
645,-34.00000000000004,2,0,0,2
646,-27.099999999999994,2,1,0,2
647,-16.499999999999993,1,0,0,2
648,-22.09999999999999,2,0,0,2
649,-15.399999999999999,2,0,0,2
650,-12.8,1,0,0,2
651,-27.00000000000008,2,0,0,1
652,-13.0,1,0,0,2
653,-12.1,0,0,0,2
654,-13.5,1,0,0,2
655,-21.999999999999993,2,0,0,2
656,-16.499999999999996,2,0,0,2
657,-37.30000000000007,2,1,0,2
658,-13.600000000000001,2,0,0,2
659,-15.3,2,0,0,2
660,-23.49999999999999,2,0,0,2
661,-15.599999999999998,2,0,0,2
662,-13.400000000000002,1,0,0,2
663,-11.4,1,0,0,2
664,-15.0,1,0,0,2
665,-17.799999999999994,1,0,0,2
666,-13.4,1,0,0,2
667,-20.999999999999993,2,0,0,2
668,-14.200000000000001,1,0,0,2
669,-15.2,2,0,0,2
670,-29.000000000000092,2,0,0,1
671,-14.5,1,0,0,2
672,-12.4,1,1,0,2
673,-16.099999999999994,2,0,0,2
674,-28.00000000000008,1,0,0,1
675,-13.500000000000002,1,0,0,2
676,-29.800000000000107,2,1,0,1
677,-25.20000000000006,2,0,0,1
678,-26.39999999999999,1,0,0,2
679,-14.799999999999999,1,0,0,2
680,-14.8,2,0,0,2
681,-30.8000000000001,1,0,0,1
682,-13.8,1,0,0,2
683,-13.900000000000002,1,0,0,2
684,-15.4,1,0,0,2
685,-29.20000000000001,1,0,0,2
686,-18.799999999999994,1,0,0,2
687,-16.999999999999996,2,1,0,2
688,-21.199999999999996,1,0,0,2
689,-19.999999999999993,0,0,0,2
690,-31.00000000000003,2,1,0,2
691,-12.0,0,0,0,2
692,-17.999999999999996,2,1,0,2
693,-19.89999999999999,2,1,0,2
694,-29.000000000000078,2,1,0,1
695,-27.60000000000009,2,0,0,1
696,-30.40000000000009,2,1,0,1
697,-28.600000000000087,1,0,0,1
698,-20.29999999999999,2,1,0,2
699,-29.600000000000097,1,0,0,1
700,-28.600000000000104,2,1,0,1
701,-27.00000000000009,2,0,0,1
702,-10.9,0,0,0,2
703,-16.4,1,0,0,2
704,-18.499999999999993,2,0,0,2
705,-11.799999999999999,1,1,0,2
706,-12.4,0,0,0,2
707,-25.699999999999992,2,1,0,2
708,-11.7,0,0,0,2
709,-21.89999999999999,1,0,0,2
710,-14.6,2,1,0,2
711,-10.799999999999999,0,0,0,2
712,-11.4,0,0,0,2
713,-21.099999999999994,1,0,0,2
714,-12.2,0,0,0,2
715,-11.700000000000001,0,0,0,2
716,-30.800000000000104,2,2,0,1
717,-12.5,0,0,0,2
718,-23.49999999999999,2,0,0,2
719,-18.099999999999994,1,0,0,2
720,-13.200000000000001,1,0,0,2
721,-31.600000000000094,1,0,0,1
722,-14.100000000000001,1,0,0,2
723,-29.600000000000097,2,1,0,1
724,-30.40000000000011,1,0,0,1
725,-28.800000000000093,2,1,0,1
726,-12.0,0,0,0,2
727,-30.000000000000103,0,0,0,1
728,-39.30000000000008,2,2,0,2
729,-13.2,1,0,0,2
730,-12.1,1,1,0,2
731,-24.399999999999988,2,0,0,2
732,-28.800000000000097,1,0,0,1
733,-11.0,0,0,0,2
734,-28.200000000000113,1,0,0,1
735,-12.8,0,0,0,2
736,-13.4,1,0,0,2
737,-28.400000000000098,2,0,0,1
738,-11.7,0,0,0,2
739,-28.0000000000001,1,0,0,1
740,-30.800000000000107,0,0,0,1
741,-24.299999999999986,2,0,0,2
742,-12.0,0,0,0,2
743,-11.4,0,0,0,2
744,-27.00000000000009,2,0,0,1
745,-14.600000000000001,2,0,0,2
746,-21.099999999999994,2,0,0,2
747,-14.4,1,0,0,2
748,-17.199999999999996,1,0,0,2
749,-31.400000000000112,0,0,0,1
750,-28.600000000000104,2,0,0,1
751,-10.799999999999999,0,0,0,2
752,-11.4,0,0,0,2
753,-13.700000000000001,1,0,0,2
754,-29.0000000000001,1,0,0,1
755,-11.8,1,1,0,2
756,-12.0,1,1,0,2
757,-16.9,1,0,0,2
758,-11.4,0,0,0,2
759,-28.200000000000077,2,0,0,1
760,-32.000000000000114,1,0,0,1
761,-11.4,0,0,0,2
762,-10.799999999999999,0,0,0,2
763,-25.599999999999994,0,0,0,2
764,-14.400000000000002,0,0,0,2
765,-31.600000000000097,0,0,0,1
766,-28.200000000000095,2,0,0,1
767,-20.999999999999986,2,0,0,2
768,-13.200000000000003,0,0,0,2
769,-21.299999999999986,1,0,0,2
770,-29.000000000000107,2,1,0,1
771,-11.2,0,0,0,2
772,-28.800000000000097,1,0,0,1
773,-13.700000000000003,1,0,0,2
774,-30.200000000000085,2,1,0,1
775,-11.6,0,0,0,2
776,-15.200000000000003,1,0,0,2
777,-29.20000000000009,2,0,0,1
